国・地域・同盟,英語,訳語
アメリカ,CYBERCOM,サイバー軍
アメリカ,National Security Agency(NSA),国家安全保障局
アメリカ,National Institute of Standards and Technology(NIST),国立標準技術研究所
アメリカ,Cyberspace Security and Emerging Technologies(CSET),サイバースペース安全保障・新興技術局
アメリカ,Cybersecurity and Infrastructure Security Agency(CISA),サイバーセキュリティ・インフラストラクチャセキュリティ庁
アメリカ,Cyber Mission Force(CMF),サイバーミッション部隊
アメリカ,Defense Information System Agency(DISA),国防情報システム庁
アメリカ,DoD Cyber Crime Center(DC3),国防総省サイバー犯罪センター
アメリカ,Remote Operations Center(ROC),遠隔作戦センター
アメリカ,Army Cyber Institute(ACI),米陸軍サイバー研究所
アメリカ,Center for Strategic and International Studies(CSIS),戦略国際問題研究所
アメリカ,General Services Administration(GSA),一般調達局
アメリカ,Global Engagement Center,(国務省)グローバル・エンゲージメント・センター
,,
イギリス,Government Communications Headquarters(GCHQ),政府通信本部
イギリス,National Cyber Security Center(NCSC),国家サイバーセキュリティセンター
イギリス,Military Intelligence 6(MI6),情報局秘密情報部
イギリス,Military Intelligence Section 5(MI5),情報局保安部
イギリス,Government Chief Information Office,政府官房情報局
イギリス,Office of Cyber Security: OCS,サイバーセキュリティ局
イギリス,Office of Cyber Security and Information Assurance(OCSIA),サイバーセキュリティ情報保証局
イギリス,Cyber Security Operations Centre(CSOC),サイバーセキュリティ運用センター
イギリス,International Institute for Strategic Studies(IISS),国際戦略研究所
,,
フランス,COMCYBER,サイバー軍
フランス,Direction General of External Security(DGSE),対外安全保障総局
,,
スウェーデン,Swedish Civil Contingencies Agency/MSB,スウェーデン市民緊急事態庁
,,
オーストラリア,Australian Strategic Policy Institute(ASPI),オーストラリア戦略政策研究所
,,
EU,European Cybercrime Centre,欧州サイバー犯罪センター
EU,European Network and Information Security Agency(ENISA),欧州ネットワーク情報セキュリティ庁
EU/NATO,European Centre of Excellence for Countering Hybrid Threats(Hybrid CoE),欧州ハイブリッド脅威対策センター
NATO,NATO Communications and Information Academy,NATO通信情報アカデミー
NATO,NATO Cooperative Cyber Defence Centre of Excellence(CCDCOE),NATOサイバー協同防衛センター
NATO,NATO Centre of Excellence for Operations in Confined and Shallow Waters (COE CSW),NATO閉鎖性水域及び浅海域オペレーションセンター
NATO,NATO Strategic Communications Centre of Excellence(StratCom),NATO 戦略的コミュニケーションセンター
,,
シンガポール・南洋理工大学,Center of Excellence for National Security (CENS),国家安全保障センター
,,
ロシア,Main Intelligence Directorate of the General Staff/GRU,連邦軍参謀本部情報総局
ロシア,Federal Security Service of the Russian Federation/FSB,連邦保安局
ロシア,Service of the External Reconnaissance of Russian Federation/SVR,連邦対外情報局
ロシア,Federal Security Service(FSO),連邦警護庁
,,
中国,cyberforce,サイバーフォース
中国,cyber-army units,サイバー軍
中国,People’s Liberation Army(PLA),人民解放軍
中国,Strategic Support Force(SSF),戦略支援部隊
中国,SSF Base 311(Unit 61716),戦略支援部隊ベース311
中国,People’s Liberation Army Air Force(PLAAF),人民解放軍空軍
中国,Service Propaganda Culture Centers,サービスプロパガンダ文化センター
中国,Network Systems Department(NSD),ネットワークシステム部
中国,China Military Online,中国軍オンライン
中国,China Cyberspace Research Institute,中国サイバースペース研究所
中国,Academy of Military Science(AMS),軍事科学アカデミー
中国,online propaganda center,オンラインプロパガンダセンター
中国,Political Work Department(PWD),政治工作部
中国,Ministry of State Security(MSS),国家安全部
中国,PLAAF Command College,PLAAFコマンドカレッジ
中国,China Association for International Friendly Contact(CAIFC),中国国際友好協会
中国,China Foundation for International Strategic Studies(CFISS),中国国際戦略研究財団
中国,Chinese Institute for International Strategic Studies(CIISS),中国国際戦略研究院
中国,Central Leading Group for Cyberspace Affairs,サイバースペース問題のための中央主導部（->中央サイバー空間事務委員会）
中国,Cyberspace Administration of China(CAC),中国サイバー空間管理局
中国,Central Cyberspace Affairs Commission,中央サイバー空間事務委員会
中国,Internet Security Emergency Command Center,インターネットセキュリティ緊急指令センター
中国,Agency Service Center,エージェンシーサービスセンター
中国,Illegal and Unhealthy Information Reporting Center,違法・不健全情報報告センター
中国,State Internet Information Office(SIIO),国家インターネット情報局
中国,State Council Information Office(SCIO),国務院情報局 
中国,United Front Work Department(UFWD),統一戦線工作部
中国,National University of Defense Technology(NUDT),国防科技大学
中国,SSF Information Engineering University(IEU),SSF情報工学大学
中国,Chinese Institute for Cyberspace,中国サイバースペース研究所
中国,PLA Daily,PLAデイリー
中国,Xinhua,新華社
,,
台湾,National Defense and Security Research(NDSR),（国防省）国防安全研究所
